********************************************************************************
Field Output Report, written Tue Mar 25 17:58:42 2025

Source 1
---------

   ODB: C:/temp/vibration.odb
   Step: analyse_modale
   Frame: Increment      0: Base State

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PLAQUE-1

      Node Label            U.U1            U.U2            U.U3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
              44     13.4217E-15     2.47475E-15         15.0323
              45     7.31286E-15     2.71567E-15         3.08410
              46     5.73278E-15     580.915E-18         2.20627
              47     6.20337E-15     401.946E-18         2.54765
              48     8.87479E-15     1.45611E-15         5.46121
              49     1.89217E-15     305.339E-18     39.5436E-03
              50     4.82849E-15     609.442E-18     177.561E-03
              51     4.56900E-15     4.74356E-15         4.30965
              52     2.70563E-15     8.44011E-15         6.12421
              53     5.58284E-15     1.74179E-15         4.81065
              54     3.16071E-15    -95.4039E-18         3.08778
              55     9.78277E-15     4.64714E-15         21.6846
              56    -2.71391E-15     3.25077E-15     789.523E-03
              57    -1.91126E-15     777.782E-18     102.623E-03
              58     53.2730E-18     47.9204E-18     48.4625E-03
              59    -5.37347E-15    -461.507E-18        -2.60585
              60    -4.36010E-15    -262.182E-18        -1.13924
              61    -6.16577E-15     2.34789E-15     65.7405E-03
              62    -7.32080E-15     718.310E-18        -6.09917
              63    -723.994E-18    -699.348E-18     241.525E-03
              64    -519.960E-18    -1.08577E-15     663.127E-03
              65    -1.61719E-15    -441.930E-18     30.9253E-03
              66    -6.86663E-15     2.14727E-15         6.29334
              67    -8.58066E-15    -365.079E-18        -16.3167
              68     2.52545E-15     1.29672E-15        -9.58711
              69     12.5652E-15     2.43511E-15         30.4379
              70    -12.8546E-15     1.15582E-15        -44.2990
              71    -5.12957E-15    -6.52885E-15        -45.8487
              72     11.3871E-15     11.1890E-15         36.3750
              73     4.31060E-15     396.272E-18     749.052E-03
              74     5.15722E-15     200.154E-18         1.33791
              75    -2.20013E-15    -405.419E-18     858.876E-03
              76    -6.25266E-15    -526.390E-18        -2.60100
